x,xs,xse,y,ys,yse,se
13.43,13.189236714552123,0.24076328544787629,-33.48,-33.70644069883908,0.22644069883908458,0.33051830465253895
1.69,1.8491907494300688,0.15919074943006883,-24.48,-24.46051099564673,0.01948900435327161,0.1603792879233126
-12.32,-12.961728954485938,0.6417289544859379,-28.17,-28.779138806100608,0.6091388061006064,0.8847972288175903
-17.13,-16.872527680719227,0.2574723192807724,-42.13,-42.35895759893357,0.22895759893356882,0.3445483671492944
-7.14,-6.0501366333471704,1.0898633666528292,-55.29,-54.93418485491732,0.35581514508267986,1.1464757195170108
6.45,5.954917935351518,0.49508206464848215,-55.8,-56.11294654314868,0.31294654314868353,0.5856976947242619
16.36,16.72087623318627,0.3608762331862714,-45.07,-45.36668487346848,0.2966848734684788,0.4671761657273618
14.29,14.65226259493642,0.3622625949364213,-30.61,-29.8821969607275,0.7278030392724979,0.8129769072146851
1.65,2.169096851768627,0.519096851768627,-23.3,-24.208711737304103,0.9087117373041025,1.0465269050675858
-12.29,-12.908247264305931,0.618247264305932,-28.27,-28.01123463015755,0.25876536984245035,0.6702157834992168
-17.02,-17.323164312738427,0.3031643127384278,-42.11,-43.38006962906551,1.2700696290655102,1.3057509192770136
-9.03,-9.016715585668887,0.01328441433111216,-54.34,-54.23599412761172,0.10400587238828507,0.10485083287875636
5.63,5.3449463319090595,0.28505366809094035,-55.81,-56.22792031811038,0.4179203181103759,0.5058784300418212
16.12,15.737265085316706,0.38273491468329546,-45.66,-46.02196642147923,0.36196642147923086,0.5267881027473093
14.63,14.171302505570594,0.45869749442940666,-31.08,-31.633236503697642,0.5532365036976437,0.7186612695974429
2.21,1.2546919284085827,0.9553080715914173,-23.36,-23.57290781503229,0.21290781503229184,0.9787457531706265
-11.8,-11.876785692613371,0.07678569261337032,-27.8,-27.85661088033886,0.05661088033885875,0.0953982932911044
-17.09,-17.498824267984894,0.4088242679848939,-41.43,-41.218218490133175,0.21178150986682454,0.4604222953060117
-9.54,-9.045031996484362,0.49496800351563763,-54.03,-53.873979071048176,0.1560209289518255,0.5189757747479615
5.07,5.089856156356192,0.019856156356191867,-56.0,-55.97309469110083,0.02690530889916687,0.03343893826366391
15.86,16.31694079985351,0.4569407998535091,-46.35,-45.80693962721639,0.5430603727836143,0.7097249206971971
15.01,15.157349915870538,0.1473499158705387,-31.71,-31.30231889566537,0.4076811043346318,0.4334926533847601
2.9,2.507075028040782,0.39292497195921783,-23.44,-23.203175670438945,0.23682432956105615,0.4587764124943608
-11.26,-11.507037630561705,0.2470376305617048,-27.33,-27.888026461808096,0.5580264618080975,0.6102631588025
-17.12,-17.778099073559368,0.6580990735593666,-40.85,-40.32782913856691,0.5221708614330893,0.8400933276425132
-10.15,-11.209380361048277,1.0593803610482766,-53.62,-54.37317950431682,0.7531795043168259,1.2998331104790786
4.39,3.4472636979758593,0.9427363020241404,-56.19,-56.32776009153822,0.1377600915382189,0.9527484337298958
15.57,15.141969665514027,0.42803033448597283,-47.04,-47.29509168618595,0.25509168618594913,0.4982787729789064
15.35,15.313290580551408,0.03670941944859152,-32.33,-31.535229308961437,0.7947706910385612,0.795618019410172
3.49,3.0581718893276992,0.431828110672301,-23.55,-23.40834059689087,0.14165940310913072,0.4544699150175336
-10.76,-11.211683387546083,0.4516833875460833,-26.92,-27.356007220855055,0.4360072208550534,0.6277899164711492
-17.13,-16.143740242282593,0.9862597577174057,-40.13,-40.18955078551039,0.05955078551038895,0.9880559729831605
-10.78,-10.830245187143769,0.05024518714376924,-53.17,-53.983433210827,0.8134332108270002,0.8149835380591655
