x,xs,xse,y,ys,yse,se
-9.08,-8.407694986807016,0.6723050131929842,-40.0,-39.76020180055717,0.23979819944283065,0.7137907306910354
-39.22,-39.037394170143926,0.18260582985607243,-40.0,-40.11388810051569,0.11388810051568754,0.2152101032398252
-69.36,-69.67810486523707,0.3181048652370748,-40.0,-39.43493308150433,0.5650669184956669,0.6484530265683754
-99.51,-100.02855176575616,0.5185517657561576,-40.0,-40.45658330060296,0.4565833006029578,0.6909155115919166
-129.82,-130.5698079234828,0.7498079234828197,-40.0,-40.16503706111084,0.16503706111083716,0.76775592062694
-159.97,-160.54255422429483,0.5725542242948336,-40.0,-40.538854305760225,0.5388543057602249,0.7862457011610255
-190.11,-190.80129641950984,0.6912964195098255,-40.0,-39.074475746656184,0.9255242533438164,1.155199499287778
-220.25,-219.6546691004141,0.595330899585889,-40.0,-39.610468184043185,0.38953181595681485,0.7114449491312436
-250.39,-250.52492894584003,0.1349289458400449,-40.0,-39.919132159018034,0.08086784098196631,0.157306796199625
-280.74,-280.88480616070314,0.14480616070312635,-40.0,-40.11583971873688,0.11583971873687915,0.1854391129579165
-310.87,-310.7527036958437,0.11729630415629799,-40.0,-39.419837138480624,0.5801628615193763,0.5919014857686014
-341.01,-341.01059128694993,0.0005912869499411499,-40.0,-40.64378893442994,0.6437889344299421,0.6437892059631767
-371.16,-370.51365999881494,0.6463400011850808,-40.0,-39.44563191509626,0.5543680849037429,0.8515159250958104
-401.31,-400.9520676471831,0.3579323528168743,-40.0,-40.4584536424024,0.4584536424023966,0.5816315942459178
-431.66,-431.942246961196,0.2822469611959946,-40.0,-40.71167242253797,0.7116724225379727,0.7655984483431507
-461.79,-461.9136772896107,0.1236772896106686,-40.0,-40.702379586643104,0.7023795866431044,0.713185218367837
-491.92,-492.33601786247203,0.41601786247201744,-40.0,-39.89194908497962,0.10805091502037811,0.429820732553151
-522.08,-520.6787996538909,1.4012003461091354,-40.0,-39.4814535134029,0.5185464865971028,1.4940725781228166
-552.42,-552.920770332945,0.5007703329450806,-40.0,-39.98174606207817,0.018253937921826946,0.501102916183473
-582.59,-582.8350679798168,0.2450679798167812,-40.0,-38.9690336172886,1.030966382711398,1.0596933504615866
-612.73,-613.0406994938112,0.3106994938111711,-40.0,-40.07771120612138,0.0777112061213785,0.3202705216084636
-642.86,-642.495656218942,0.3643437810579826,-40.0,-39.25261664540079,0.7473833545992079,0.8314615261860241
-673.01,-672.1403918721936,0.869608127806373,-40.0,-40.40896739633757,0.40896739633757306,0.9609748317276778
-703.15,-703.4362231947879,0.28622319478790814,-40.0,-40.32534408698557,0.3253440869855666,0.43332723451344335
-733.5,-732.9947554295901,0.5052445704099,-40.0,-39.543824379311836,0.456175620688164,0.6807115929958267
-763.62,-763.7338941426337,0.11389414263373965,-40.0,-39.73936023612852,0.260639763871481,0.2844379760813524
-793.76,-792.9316286495275,0.8283713504724801,-40.0,-40.28617575706948,0.2861757570694792,0.8764106675628098
-823.9,-823.6829772198774,0.21702278012253373,-40.0,-39.15550735778206,0.8444926422179435,0.8719327438812912
-854.05,-854.3465667945745,0.2965667945745736,-40.0,-40.21782169551091,0.21782169551090647,0.36796488239977926
-884.39,-884.9184130361197,0.528413036119673,-40.0,-39.63993264124441,0.36006735875559315,0.639428525780982
-914.54,-914.976643093685,0.43664309368500653,-40.0,-39.99439751188178,0.005602488118221061,0.4366790344588668
-944.68,-943.7780558591011,0.9019441408988769,-40.0,-40.50490402958285,0.5049040295828533,1.0336495113871123
-974.82,-974.6961099272352,0.12389007276487973,-40.0,-40.14865934299636,0.14865934299636052,0.19351576263911102
-1004.97,-1004.4864855513177,0.48351444868228555,-40.0,-39.47594205991126,0.5240579400887384,0.7130378297499973
-1035.33,-1035.7726522540443,0.44265225404433295,-40.0,-39.89349286533916,0.10650713466083772,0.45528539153391523
-1065.49,-1065.5413030412776,0.0513030412776061,-40.0,-39.96146096328677,0.03853903671323167,0.0641658740695985
