x,xs,xse,y,ys,yse,se
14.11,14.823558724712866,0.7135587247128665,-27.12,-27.719187564868513,0.5991875648685117,0.9317680996400924
8.68,7.903385739723118,0.7766142602768813,2.78,2.975086109474044,0.19508610947404437,0.8007423426890364
2.2,1.9564789533913183,0.2435210466086819,32.43,32.43473879158194,0.004738791581942792,0.24356714944147317
-6.54,-6.148242875042501,0.3917571249574987,59.47,59.69806801143651,0.22806801143651256,0.45330857348562303
-36.44,-36.97935079308121,0.539350793081212,54.44,54.016533748428095,0.4234662515719023,0.6857280395446069
-62.23,-62.8868992861792,0.656899286179204,38.74,39.16639337937816,0.4263933793781547,0.783152594428615
-83.06,-83.03292972402775,0.027070275972249647,17.04,16.038544559241778,1.001455440758221,1.0018212413726595
-96.13,-96.03160801517454,0.09839198482545441,-10.14,-9.490451088355062,0.6495489116449384,0.6569587287623299
-100.68,-99.88245259111156,0.7975474088884482,-40.13,-40.387448577985225,0.25744857798522247,0.8380701878311212
-96.14,-96.33894475807953,0.19894475807953427,-69.91,-69.82748488308843,0.08251511691156566,0.21537818201074538
-82.98,-82.80139422948349,0.17860577051651205,-97.02,-97.30773770166154,0.2877377016615412,0.33866355903649137
-62.39,-62.127927407790914,0.26207259220908696,-119.02,-118.86342715910537,0.15657284089462564,0.3052819976562721
-36.02,-36.124761490157326,0.10476149015732261,-134.02,-134.35470787803527,0.33470787803526036,0.3507197363121293
-6.57,-6.333979752168874,0.23602024783112618,-140.47,-141.09310437447283,0.6231043744728311,0.6663067003065812
23.44,23.958484617698467,0.5184846176984657,-137.92,-137.64982877203934,0.2701712279606454,0.5846527099122069
51.37,50.464199584994226,0.9058004150057712,-126.59,-126.91940686741795,0.3294068674179442,0.9638377851727595
74.7,73.8789514047396,0.8210485952604074,-107.5,-107.15810401881072,0.3418959811892819,0.889389485957907
91.35,90.79823493138768,0.5517650686123119,-82.36,-81.66633873888996,0.6936612611100372,0.8863467922351367
99.82,100.12976417985615,0.30976417985615967,-53.22,-53.89161750214527,0.6716175021452742,0.7396106518363676
99.27,98.74079153696168,0.5292084630383158,-23.09,-22.419554300131512,0.6704456998684876,0.8541422796136031
89.78,89.98509480027394,0.20509480027394034,5.54,5.081022686003846,0.4589773139961544,0.5027166715581769
72.31,72.27004239084346,0.039957609156545004,30.07,29.647343339686504,0.42265666031349625,0.424541238323046
48.32,47.99134999690607,0.32865000309393366,48.33,48.91572395737048,0.5857239573704831,0.6716274106760252
19.82,19.260206487191187,0.5597935128088132,58.72,59.08612059761869,0.3661205976186892,0.6688894295647801
-10.29,-11.063926976776571,0.773926976776572,60.17,59.96183096995958,0.2081690300404233,0.8014345328537417
-39.47,-39.54093140012071,0.0709314001207133,52.62,52.30864563866676,0.3113543613332368,0.31933180525013866
-65.14,-65.84141630876196,0.7014163087619636,36.77,36.651159661543446,0.1188403384565575,0.7114125836964984
-84.93,-85.61426242528796,0.6842624252879546,14.07,14.190715684721408,0.12071568472140726,0.6948290028479754
-97.18,-96.55683387559274,0.6231661244072626,-13.68,-13.821572809120342,0.1415728091203423,0.6390452870423134
-100.63,-100.4788167547346,0.1511832452654005,-43.61,-43.808896205132314,0.1988962051323142,0.2498320917436626
-95.04,-95.26248631581984,0.22248631581983602,-73.22,-72.38899905255815,0.8310009474418507,0.8602689901282838
-80.94,-80.06255838099062,0.8774416190093746,-99.87,-100.72150609809495,0.8515060980949443,1.2226881981366586
-59.6,-59.70388212551375,0.1038821255137492,-121.15,-121.21449596228223,0.06449596228222276,0.1222752025226875
-32.71,-32.28345021816019,0.4265497818398103,-135.21,-135.4812937119166,0.27129371191659857,0.5055145838777315
-3.08,-3.455309626646279,0.375309626646279,-140.64,-141.19212357139708,0.5521235713970896,0.6676059870504806
26.85,26.771075161006134,0.07892483899386704,-137.03,-136.83827889216846,0.1917211078315404,0.20733092725968544
54.37,54.52276424847785,0.15276424847785108,-124.74,-125.69464893894758,0.9546489389475852,0.9667944519114458
77.01,77.30355474011488,0.29355474011487104,-104.86,-105.18530745330769,0.32530745330768696,0.43817727533664086
92.83,92.46084606622449,0.3691539337755074,-78.99,-79.1111146482807,0.1211146482807095,0.38851433030210314
100.22,100.44536091054215,0.22536091054215035,-49.78,-50.692119386531644,0.9121193865316428,0.9395473991700725
98.62,98.69500167541165,0.0750016754116416,-19.7,-19.56458990694018,0.13541009305981788,0.15479387784089454
88.17,89.03865610376498,0.8686561037649767,8.58,8.491237195484487,0.08876280451551288,0.8731793985622939
69.7,69.66268371156808,0.03731628843192425,32.66,32.25218763629546,0.40781236370453655,0.40951609171388587
45.07,44.93155445897632,0.13844554102367823,50.03,48.73841957362027,1.2915804263797313,1.2989792783707472
16.41,16.0701742556381,0.3398257443618995,59.34,58.96831943966115,0.3716805603388522,0.5036149079057551
-13.73,-13.218480816394912,0.5115191836050883,59.76,59.989301655552104,0.22930165555210635,0.5605632207297878
-42.64,-41.67963677174395,0.9603632282560497,51.21,50.803056452473264,0.4069435475267369,1.0430247269648152
-67.72,-67.50485315184252,0.21514684815747387,34.51,34.0837307149531,0.4262692850468994,0.4774868266732496
-86.84,-87.06743701056428,0.22743701056427312,10.94,11.123338518539429,0.18333851853942917,0.2921311454717656
