x,xs,xse,y,ys,yse,se
15,15.1415885075099,0.14158850750993,-40,-40.3445497286857,0.344549728685735,0.37250747777233
14.98,14.9391510223499,0.0408489776500822,-39.01,-38.5759774282399,0.43402257176006,0.435940628723997
11.73,11.9933336321336,0.263333632133595,-30.21,-30.5355498207819,0.325549820781859,0.418721014069955
4.62,4.43010986752319,0.189890132476806,-23.01,-23.0660028620478,0.0560028620477944,0.197976218191992
-4.13,-3.62786497444517,0.502135025554833,-19.5,-18.9905673714661,0.509432628533933,0.71530496077124
-13.69,-13.7125955350969,0.022595535096892,-22.29,-22.980880488355,0.690880488354992,0.691249887808994
-20.14,-19.5761023958657,0.563897604134315,-29.82,-29.7700200496614,0.0499799503385745,0.566108208193687
-22.41,-23.1363722363034,0.726372236303373,-39.6,-39.1616210713893,0.438378928610739,0.848405982252755
-20.24,-21.0566607507229,0.816660750722928,-49.17,-48.9822973374133,0.187702662586709,0.837954098571918
-14.05,-12.3030828057888,1.74691719421116,-57.08,-56.5528865592829,0.527113440717123,1.82471045999502
-5.13,-5.11270946264893,0.0172905373510668,-61.58,-61.0322958843911,0.547704115608937,0.547976971173841
4.64,4.49153131685077,0.148468683149234,-61.74,-61.4683741146561,0.271625885343923,0.309553826442087
13.67,12.7850804861688,0.884919513831173,-57.44,-57.9939468602413,0.553946860241268,1.044001757628
19.87,19.653289796362,0.216710203638033,-49.9,-48.9563626645166,0.943637335483409,0.968201804005273
22.26,22.4088330776911,0.148833077691069,-40.23,-40.4746452577081,0.244645257708129,0.286360938561936
20.15,20.0040081448233,0.145991855176693,-30.66,-30.6254671921824,0.0345328078175733,0.150020453917784
13.94,13.2350913684614,0.704908631538634,-22.78,-22.3034525648749,0.47654743512507,0.850878156225645
4.99,4.8283994316461,0.161600568353903,-18.34,-18.6530077515393,0.313007751539292,0.352262112944307
-4.79,-4.59355855691621,0.196441443083787,-18.26,-17.8676850072392,0.392314992760827,0.438748554534107
-13.78,-14.7827428624861,1.00274286248611,-22.63,-21.7719275983921,0.858072401607917,1.3197656968826
-19.92,-20.3224927893916,0.402492789391584,-30.21,-29.6662746715341,0.543725328465854,0.67648923001591
-22.25,-21.9682159988545,0.281784001145503,-39.92,-39.3256519526096,0.594348047390376,0.657762741980968
-19.98,-19.683039971265,0.29696002873505,-49.67,-49.3292023649355,0.340797635064547,0.452026865055508
-13.8,-13.4983954992848,0.301604500715154,-57.33,-57.9662620031107,0.636262003110666,0.704126843298872
-4.81,-4.90104765952694,0.0910476595269412,-61.69,-62.0426489657923,0.35264896579227,0.3642128078194
4.96,4.45835210783714,0.501647892162859,-61.69,-61.2907993619619,0.399200638038145,0.641101986521257
13.92,13.6091313132787,0.310868686721346,-57.26,-57.2776521976773,0.0176521976772861,0.311369459752706
20,20.2800422618666,0.28004226186663,-49.64,-49.2292654071523,0.410734592847696,0.497118269824335
22.25,21.9323940461406,0.317605953859413,-39.91,-38.9797427623589,0.930257237641079,0.982981215543084
19.91,19.9460489952416,0.0360489952415683,-30.18,-29.6620793052005,0.517920694799496,0.519173743711601
13.68,15.2749723638644,1.59497236386436,-22.58,-22.8117658677973,0.231765867797328,1.61172338165298
4.68,5.31453121491585,0.634531214915855,-18.29,-18.50802737617,0.218027376169957,0.670943961491678
-5.29,-5.26606854031396,0.023931459686044,-18.4,-19.1868332833788,0.786833283378762,0.787197135789573
-14.02,-14.1691695468082,0.149169546808203,-22.84,-22.7135079750382,0.126492024961838,0.195580638289967
-20.15,-19.6565796731713,0.493420326828716,-30.72,-30.5311160859686,0.188883914031376,0.528337725236017
-22.24,-21.6768146791166,0.563185320883399,-40.28,-40.3721591802881,0.0921591802881281,0.570675932706047
-19.81,-20.3653673781532,0.555367378153232,-50,-49.791244471323,0.208755528677031,0.59330581951471
-13.5,-14.1962759993485,0.69627599934846,-57.56,-58.4395520406536,0.879552040653593,1.12178966811368
-4.43,-4.97951860506497,0.549518605064971,-61.77,-61.8906292735389,0.120629273538903,0.562602985192111
5.33,5.60510199414494,0.275101994144944,-61.6,-61.5827173623786,0.0172826376213919,0.275644330153328
14.22,14.0368084909893,0.183191509010737,-57.01,-57.3124537943611,0.302453794361099,0.353606315974499
20.17,20.3052955287663,0.135295528766314,-49.25,-49.4734038586441,0.223403858644076,0.261178414424352
22.24,22.2966747766467,0.056674776646684,-39.47,-39.7528747770822,0.282874777082228,0.288496394808101
19.72,18.6691824587916,1.05081754120839,-29.78,-30.0783998155833,0.298399815583309,1.09236438739617
13.33,13.8780663536866,0.54806635368664,-22.28,-22.2319250829659,0.0480749170340786,0.550170815012212
4.22,4.21353414430743,0.00646585569257052,-18.18,-18.1198004120274,0.0601995879726189,0.0605458312512945
-5.53,-6.48834833403047,0.958348334030465,-18.46,-18.9578105449564,0.497810544956401,1.07992910323259
-14.38,-14.272681060448,0.107318939552016,-23.14,-23.561893507524,0.42189350752405,0.435329170257996
-20.27,-20.7333287825525,0.46332878255253,-30.94,-31.1810212224699,0.241021222469886,0.52226888709025
-22.24,-22.5822929763764,0.342292976376399,-40.73,-40.6101979736519,0.11980202634814,0.362652736365982
-19.62,-19.0790895037703,0.540910496229678,-50.4,-51.297760441806,0.897760441806035,1.0481211646576
-13.18,-13.3953934705855,0.215393470585536,-57.83,-57.7643627449567,0.0656372550433204,0.225172370464282
-4.03,-4.03509649664997,0.00509649664996648,-61.86,-62.3204641918207,0.460464191820691,0.460492395406466
5.71,5.90549802677448,0.195498026774477,-61.51,-61.074392287146,0.435607712854022,0.477465766281339
14.53,14.7750443311735,0.24504433117349,-56.75,-56.8848433585205,0.134843358520456,0.279695290588418
20.43,20.3004182871587,0.129581712841329,-48.71,-48.554593674462,0.155406325537975,0.202342645826597
22.23,22.7481130308883,0.518113030888308,-39.09,-39.7019201633316,0.611920163331554,0.801802593577737
19.51,20.7730172861325,1.26301728613251,-29.45,-30.0324942337231,0.582494233723125,1.3908674262453
12.99,13.3044250952638,0.314425095263756,-22.06,-22.266912722216,0.206912722216018,0.376398744878971
3.82,4.12222525934586,0.302225259345861,-18.11,-18.0716117876633,0.0383882123366988,0.304653511768829
-5.9,-6.35657759138966,0.456577591389656,-18.55,-18.6411624726996,0.0911624726996152,0.465589619072298
-14.69,-14.9839643395194,0.293964339519395,-23.4,-23.0878025748142,0.312197425185818,0.428814954498708
-20.51,-20.884072646984,0.374072646984022,-31.5,-31.7308164227062,0.230816422706162,0.439552688778606
-22.22,-23.2236137523082,1.00361375230817,-41.15,-40.8073077347876,0.342692265212364,1.06050862912966
-19.39,-19.6194750633432,0.22947506334323,-50.77,-50.4146843171428,0.355315682857253,0.422975222892187
-12.82,-13.9615336435476,1.1415336435476,-58.07,-58.5351948558877,0.465194855887724,1.23268216231738
-3.61,-3.32006885525522,0.289931144744783,-61.93,-61.8837096947965,0.0462903052034775,0.293603237463165
6.1,6.0846969051461,0.0153030948539046,-61.38,-61.4003633493818,0.0203633493817534,0.025472548167605
14.84,14.5383139897026,0.30168601029737,-56.44,-57.2247832165375,0.784783216537477,0.840772945430604
20.51,20.2552751114396,0.254724888560442,-48.48,-47.8957521397122,0.584247860287839,0.637362009460124
22.21,21.8397909750825,0.370209024917486,-38.62,-39.3171935016825,0.69719350168247,0.789388054709862
19.3,19.569740263857,0.269740263857006,-29.03,-28.4556318622687,0.574368137731319,0.634553833481913
12.64,12.4487391713989,0.191260828601131,-21.78,-21.3832056685213,0.396794331478652,0.440484331220512
3.38,3.66187520692458,0.281875206924576,-18.03,-18.3721095376217,0.342109537621745,0.443274822215899
-6.32,-6.29691755393833,0.0230824460616743,-18.66,-18.8244827505152,0.164482750515212,0.166094474722188
-15.01,-14.7756773153279,0.234322684672104,-23.68,-23.5583586902027,0.12164130979729,0.264014637475165
-20.6,-20.452668367302,0.147331632698023,-31.71,-32.1116430647948,0.401643064794769,0.427812764525791
