x,xs,xse,y,ys,yse,se
15.0,15.065875621110594,0.0658756211105942,-40.0,-40.139511851042045,0.13951185104204455,0.15428270816227005
14.83,15.446630604131443,0.6166306041314424,-40.0,-40.60245150314703,0.6024515031470301,0.8620795297393529
10.24,10.073197421732027,0.16680257826797273,-40.0,-40.72341918089416,0.7234191808941617,0.7424004387137868
5.34,5.046512206022841,0.2934877939771585,-40.0,-39.81362127722481,0.18637872277518852,0.34766667012655905
0.34,0.827492530087728,0.487492530087728,-40.0,-40.868752801991555,0.8687528019915547,0.9961829138564422
-4.66,-4.2102886293557775,0.4497113706442226,-40.0,-39.62253292840642,0.3774670715935784,0.587130059717723
-9.56,-10.43512150493625,0.8751215049362493,-40.0,-39.78665685281604,0.21334314718396286,0.9007513235362155
-14.56,-13.701998661183575,0.8580013388164254,-40.0,-39.60208452112385,0.39791547887615053,0.9457817008908633
-19.46,-19.76422923636139,0.3042292363613903,-40.0,-39.91576161488993,0.0842383851100692,0.3156763117229214
-24.46,-24.39356216178074,0.06643783821926164,-40.0,-39.813236975672716,0.1867630243272842,0.19822818569295975
-29.46,-29.97538703761055,0.515387037610548,-40.0,-39.70228601276833,0.297713987231667,0.5951952761324251
-34.36,-34.71003292401298,0.3500329240129787,-40.0,-39.5401556233749,0.45984437662509947,0.5779099398754117
-39.36,-39.926293369333926,0.5662933693339269,-40.0,-39.799005187278055,0.20099481272194453,0.6009052295434788
-44.27,-43.922128573480585,0.3478714265194185,-40.0,-40.79047026428251,0.7904702642825114,0.8636305738587065
-49.27,-49.3902830053049,0.12028300530489844,-40.0,-40.736903715600825,0.7369037156008247,0.746655936446955
-54.16,-54.77281746095796,0.6128174609579631,-40.0,-40.200845879525566,0.20084587952556632,0.6448909270391101
-59.17,-57.86161431714507,1.308385682854933,-40.0,-39.957047572878494,0.04295242712150582,1.3090905263179462
-64.17,-64.45846417790862,0.28846417790862233,-40.0,-40.05356182588804,0.05356182588803904,0.2933947019442545
-69.08,-68.83028774404237,0.24971225595763258,-40.0,-40.08993713671266,0.08993713671266335,0.26541458011104535
-74.08,-73.52871147963671,0.5512885203632862,-40.0,-39.67196019682847,0.3280398031715279,0.6415053742168932
-78.98,-78.97598375454014,0.004016245459865786,-40.0,-39.92667123309729,0.07332876690271206,0.07343867021580777
-83.98,-84.92451309804267,0.9445130980426626,-40.0,-39.08378980059446,0.9162101994055405,1.3158822598807571
-88.89,-89.18810840319642,0.29810840319642296,-40.0,-39.7427504133551,0.25724958664490316,0.39375877118522024
-93.89,-94.26485501885381,0.37485501885380756,-40.0,-40.001132384449114,0.0011323844491144541,0.3748567292372234
-98.89,-98.63463070720768,0.2553692927923237,-40.0,-39.573958074139284,0.42604192586071576,0.49671440314567
-103.79,-104.44184147717796,0.6518414771779533,-40.0,-39.228669578392235,0.7713304216077645,1.0098752054918212
-108.8,-108.62001466092532,0.17998533907467618,-40.0,-40.20045479705113,0.20045479705112967,0.269400905608418
-113.7,-114.44519422828895,0.7451942282889519,-40.0,-39.72602749897535,0.27397250102465165,0.7939618184729473
-118.7,-118.97208300294197,0.27208300294196874,-40.0,-41.09440675706518,1.0944067570651796,1.127721291099819
-123.71,-123.60218415261069,0.10781584738930405,-40.0,-39.77577712108013,0.2242228789198677,0.24879742036320907
-128.61,-128.94805401712617,0.33805401712615435,-40.0,-40.03450273848162,0.034502738481620554,0.3398101785671838
-133.61,-133.76630095552682,0.15630095552680245,-40.0,-39.87740509533776,0.12259490466224321,0.1986441525636634
-138.51,-138.40657063210259,0.1034293678974052,-40.0,-39.170655346026834,0.8293446539731661,0.8357692200706649
-143.51,-143.76495424483235,0.25495424483236206,-40.0,-39.476566931407554,0.5234330685924462,0.5822231910995512
-148.51,-148.87612811033583,0.36612811033583625,-40.0,-40.338111468132915,0.33811146813291515,0.49836648970520236
-153.42,-153.5593195438345,0.1393195438345174,-40.0,-39.96934198801673,0.030658011983270228,0.14265289689671343
-158.42,-158.61550913383363,0.19550913383363877,-40.0,-39.60269314343696,0.3973068565630413,0.44280532933150746
-163.32,-164.0862977008608,0.7662977008608038,-40.0,-40.02507467340949,0.025074673409491766,0.7667078358743614
-168.33,-168.11209694438088,0.21790305561913215,-40.0,-39.69605691532026,0.3039430846797373,0.37398280758985236
-173.23,-172.85434958797194,0.37565041202805105,-40.0,-40.234910068376344,0.23491006837634387,0.44305301294700966
-178.23,-178.63693320232338,0.4069332023233869,-40.0,-39.480966563120326,0.5190334368796741,0.6595379744580998
-183.23,-183.1188363536855,0.1111636463144805,-40.0,-39.7543414580551,0.24565854194489845,0.2696395288017399
-188.13,-188.2713223068497,0.14132230684970182,-40.0,-40.60238726659161,0.602387266591613,0.6187426067154551
-193.14,-193.1733820413898,0.03338204138981382,-40.0,-39.67946860209101,0.32053139790898655,0.32226501164855037
-198.04,-197.60091505564273,0.439084944357262,-40.0,-40.44702989537795,0.4470298953779519,0.6266029968990273
-203.05,-201.89481004629187,1.1551899537081454,-40.0,-40.10828873739094,0.10828873739094291,1.1602544030487243
-207.95,-207.3609463412153,0.5890536587846782,-40.0,-39.55232485993677,0.4476751400632324,0.739862989990884
-212.95,-213.653415970882,0.7034159708820198,-40.0,-40.1969232476049,0.1969232476049001,0.7304606721372173
-217.95,-217.67297095030162,0.2770290496983705,-40.0,-39.968705439939235,0.03129456006076481,0.27879103978818803
-222.85,-222.34641560010567,0.5035843998943221,-40.0,-39.91892656012852,0.08107343987148141,0.5100687703334906
-227.86,-227.90052284749245,0.04052284749243995,-40.0,-39.64443756310517,0.3555624368948287,0.3578641469880499
-232.76,-232.38326977472167,0.37673022527832245,-40.0,-40.430374365325825,0.4303743653258252,0.571968318150457
-237.77,-237.38033390438474,0.38966609561526866,-40.0,-38.946109163432325,1.0538908365676747,1.1236216273609907
-242.67,-242.02254471791028,0.6474552820897088,-40.0,-39.712948917105976,0.28705108289402403,0.7082348950005897
-247.67,-248.65807747425606,0.9880774742560732,-40.0,-39.63325617229753,0.3667438277024715,1.0539440830946019
