x,xs,xse,y,ys,yse,se
14.15,14.749456412446028,0.5994564124460275,-29.23,-29.367192596245715,0.13719259624571478,0.6149551194089709
10.5,10.687076287104823,0.18707628710482282,-14.47,-14.810896187069329,0.3408961870693279,0.3888544040580385
4.73,4.3586420408322555,0.37135795916774494,-0.48,-0.8817857703763342,0.40178577037633423,0.5471183958835024
-3.77,-3.676974649556666,0.09302535044333382,11.02,11.209857523970758,0.18985752397075828,0.21142278787635954
-18.5,-18.830901647924826,0.3309016479248257,12.46,11.569161613676627,0.8908383863233738,0.9503099132107367
-31.36,-30.588667063024012,0.7713329369759876,4.09,4.441462391682956,0.351462391682956,0.8476321799173899
-41.15,-40.50240395591989,0.6475960440801103,-7.52,-8.283213693779397,0.763213693779397,1.0009374499341102
-48.55,-48.309701636263426,0.24029836373657076,-20.77,-20.754535682824674,0.015464317175325704,0.24079544995737012
-52.72,-52.24418002669846,0.47581997330154024,-35.16,-35.22327833078812,0.06327833078812262,0.48000916047509923
-52.51,-52.836398261781575,0.32639826178157705,-50.2,-51.13975961258734,0.9397596125873378,0.9948286057127319
-47.43,-48.331726080571926,0.901726080571926,-64.45,-63.94940246698583,0.5005975330141723,1.0313621160598652
-38.22,-38.26260456038567,0.04260456038566929,-76.6,-76.92515727511707,0.32515727511707837,0.32793658247780094
-26.3,-25.84882752989479,0.45117247010520956,-85.79,-86.84219528381641,1.0521952838164026,1.1448456284872282
-12.41,-13.309104171880975,0.8991041718809747,-91.61,-91.03392890113886,0.5760710988611351,1.0678231233855393
2.61,2.1228563207298348,0.4871436792701651,-93.27,-93.70642760113158,0.43642760113158374,0.6540474105768956
17.42,17.987874820115806,0.5678748201158044,-90.38,-90.64808985164018,0.26808985164018395,0.6279760981709519
30.79,30.80111490035984,0.011114900359839197,-83.19,-83.07006501800628,0.11993498199372254,0.12044891413310335
41.56,41.89898899752804,0.3389889975280411,-72.58,-73.26062065692919,0.680620656929193,0.7603670291930027
49.17,49.34703870648267,0.17703870648266928,-59.58,-60.27840616099564,0.6984061609956385,0.7204955720264506
53.0,51.753536810880675,1.246463189119325,-45.04,-45.46734130846976,0.4273413084697637,1.3176839817475843
52.43,52.15016729566454,0.2798327043354618,-29.88,-29.519887319662082,0.36011268033791666,0.4560564493084782
47.31,47.48751017739941,0.17751017739940522,-15.67,-15.07084730268312,0.5991526973168799,0.6248950454135966
38.28,37.68394753835397,0.5960524616460319,-3.53,-3.394155929115138,0.1358440708848616,0.6113363629205003
26.43,26.648864409414905,0.21886440941490548,5.74,5.52290206888635,0.21709793111365006,0.30827445791431135
12.45,12.136684638791737,0.31331536120826264,11.62,10.725147342105634,0.894852657894365,0.9481180279425518
-2.58,-3.1215830747617654,0.5415830747617654,13.28,11.89082262822893,1.3891773717710691,1.4910150894974816
-17.4,-17.64124117385946,0.24124117385946064,10.4,10.396989565950776,0.0030104340492247417,0.24125995664066438
-30.69,-31.3400732128048,0.6500732128047986,3.27,4.10664691067283,0.83664691067283,1.0595155662588178
-41.47,-42.296227533789306,0.8262275337893072,-7.28,-6.555196321831635,0.7248036781683656,1.099087034532731
-49.15,-49.10753516017461,0.04246483982538507,-20.34,-20.738883630035495,0.39888363003549543,0.4011376483598736
-52.99,-52.801119109866136,0.18888089013386633,-34.9,-34.28441002809987,0.6155899719001283,0.6439153703412914
-52.46,-51.85927716943942,0.6007228305605778,-49.97,-49.31282078192531,0.6571792180746883,0.8903664660273158
-47.37,-46.92777431299129,0.44222568700870823,-64.21,-64.30004356901333,0.0900435690133321,0.45129968155426686
-38.28,-37.39354573881115,0.8864542611888524,-76.46,-75.56927224460736,0.890727755392632,1.2566610885225462
-26.47,-26.717646438209908,0.24764643820990884,-85.73,-86.29362677969665,0.5636267796966479,0.6156329305270047
-12.57,-12.139134805964998,0.4308651940350021,-91.6,-91.87959063895767,0.27959063895767144,0.5136299648809238
2.45,2.5134268059249263,0.06342680592492611,-93.28,-93.49203198008719,0.2120319800871897,0.221315431657019
17.37,18.464858619131306,1.0948586191313048,-90.39,-90.39241993918502,0.0024199391850174834,1.0948612934941881
30.67,30.44790845022686,0.22209154977314327,-83.27,-82.96720242243923,0.3027975775607672,0.37551435319745824
41.46,41.348810019605445,0.11118998039455619,-72.71,-72.7814970828555,0.07149708285550105,0.13219320934521625
49.11,49.43229190733487,0.322291907334872,-59.73,-59.88043317825197,0.15043317825197278,0.35567149822910965
53.0,53.55630232392201,0.5563023239220115,-45.09,-44.66629776425771,0.42370223574229016,0.6992823894350878
52.46,52.79845273948753,0.3384527394875292,-30.02,-30.287757763792204,0.2677577637922042,0.43156051364509135
47.37,46.65449472265375,0.7155052773462458,-15.79,-16.30597373909737,0.5159737390973724,0.8821432431008308
38.36,39.06930598682531,0.7093059868253135,-3.62,-3.545788772278117,0.07421122772188316,0.7131776000872582
26.55,26.61299815976072,0.06299815976072054,5.68,5.392612700877375,0.2873872991226243,0.2942111959634337
12.58,13.272343303677458,0.6923433036774576,11.6,11.916582182312375,0.31658218231237534,0.7612906989479657
-2.44,-2.158986654697511,0.281013345302489,13.28,12.882124990539833,0.39787500946016685,0.48710678848792877
-17.26,-17.396229382306323,0.13622938230632187,10.44,9.960131106948417,0.47986889305158265,0.4988312331060609
-30.58,-30.39749174615901,0.18250825384098945,3.35,4.336878878920494,0.9868788789204941,1.0036130650701285
-41.39,-42.175692097793394,0.7856920977933939,-7.2,-6.921423336858672,0.2785766631413278,0.833616836311468
-49.07,-50.04979390429368,0.979793904293679,-20.16,-19.81724408991084,0.34275591008915995,1.0380162372487722
-52.99,-53.382937654838194,0.39293765483819243,-34.8,-34.23549786881522,0.5645021311847742,0.6877955050026792
-52.49,-52.92805921291152,0.4380592129115186,-49.87,-49.391141086194864,0.47885891380513357,0.6490005649822591
